date,value
1960-01-01,174.858856531804
1961-01-01,181.870010833085
1962-01-01,188.421016299893
1963-01-01,205.037422391885
1964-01-01,224.968154393354
1965-01-01,260.50559523622
1966-01-01,263.334589411514
1967-01-01,211.219296540365
1968-01-01,196.668571830464
1969-01-01,225.772621963554
1970-01-01,248.159869409818
1971-01-01,263.408787882235
1972-01-01,223.80286383233
1973-01-01,309.509552300391
1974-01-01,289.425856816508
1975-01-01,272.976715188503
1976-01-01,260.998295813107
1977-01-01,292.28979809499
1978-01-01,325.598476678233
1979-01-01,346.653403777697
1980-01-01,372.252026367961
1981-01-01,343.799126739425
1982-01-01,319.206910329791
1983-01-01,311.383438154949
1984-01-01,329.998888863111
1985-01-01,329.714604937014
1986-01-01,410.711658388611
1987-01-01,355.153724919203
1988-01-01,355.121844932881
1989-01-01,349.964941914982
1990-01-01,382.54246368354
1991-01-01,418.254121349986
1992-01-01,396.426407640517
1993-01-01,359.800844097528
1994-01-01,320.50390343252
1995-01-01,371.537243033836
1996-01-01,389.271267898831
1997-01-01,377.841935501461
1998-01-01,400.366799508524
1999-01-01,403.037326127273
2000-01-01,253.746936203344
2001-01-01,263.542156494853
2002-01-01,297.46164468774
2003-01-01,358.39927142073
2004-01-01,406.132105329565
2005-01-01,478.611909191028
2006-01-01,906.441027564887
2007-01-01,1050.12461524926
2008-01-01,1182.65761256016
2009-01-01,1047.70430093586
2010-01-01,1263.89251760539
2011-01-01,1507.43573198753
2012-01-01,1543.77524235764
2013-01-01,2294.79584693743
2014-01-01,1949.90832923846
2015-01-01,1722.77282833606
2016-01-01,1912.47991339951
2017-01-01,2012.28662641265
2018-01-01,2195.32166016377
2019-01-01,2186.65822682613
2020-01-01,2195.45481659987
2021-01-01,2445.18662529344
2022-01-01,2229.89122647803
2023-01-01,2383.90410483418
2024-01-01,2405.79466378083
