date,value
2000-01-01,3.59611011519771
2001-01-01,3.82774413490936
2002-01-01,4.61748976939888
2003-01-01,5.11221614708648
2004-01-01,5.40385344283082
2005-01-01,6.23025455461886
2006-01-01,5.81665452249253
2007-01-01,4.07391361157531
2008-01-01,9.00308582831694
2009-01-01,5.68070222232999
2010-01-01,7.77844699511854
2011-01-01,13.9549340210992
2012-01-01,8.42187659085963
2013-01-01,7.24067745725065
2014-01-01,2.85624019893965
2015-01-01,2.12075931001404
2016-01-01,3.37346572466513
2017-01-01,8.12889491584062
2018-01-01,6.20007767184218
2019-01-01,6.50777478757304
2020-01-01,0.513941659664903
2021-01-01,5.07646646780889
2022-01-01,3.81750461149981
2023-01-01,3.12751873539828
2024-01-01,5.6848726375148
2025-01-01,4.02632624382892
2026-01-01,4.79307145049472
